,Valupe
Accuracy,0.6356517355778812
Sensitivity (Recall),0.48552722260509995
Specificity,0.6466119070680134
Precision,0.0911620082815735
F1 Score,0.15350256019174202
ROC AUC,0.5944912041293334
Average Precision (AP),0.09389704527561546
